client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
9286288,21.0,254.0,62.5,M,3.0,16320040.15,6.0,9.0
8339240,6.0,80.0,26.5,M,2.0,12838418.01,3.0,3.0
7070097,11.0,133.0,53.0,M,2.0,8986419.77,6.0,9.0
9440656,7.0,94.0,63.0,F,2.0,8292996.21,6.0,9.0
2291985,7.0,85.0,41.0,M,2.0,8247729.97,1.0,4.0
1678193,24.0,299.0,65.5,M,3.0,8137343.24,6.0,9.0
6762377,16.0,193.0,41.5,F,3.0,8045102.6,6.0,9.0
3519657,18.0,218.0,66.5,M,6.0,7741994.01,6.0,9.0
987970,14.0,179.0,74.5,M,3.0,7339443.17,4.0,9.0
857273,31.0,376.0,56.5,M,5.0,6716305.28,6.0,9.0
5939963,24.0,289.0,62.5,M,3.0,6628686.47,5.0,5.0
7959723,21.0,261.0,56.5,M,3.0,6566425.13,7.0,7.0
3559689,29.0,352.0,73.5,M,4.0,6387060.94,5.0,5.0
9290030,28.0,341.0,67.5,M,4.0,6353000.43,5.0,8.0
5735570,37.0,451.0,73.0,M,3.0,6000386.82,6.0,9.0
3545814,13.0,163.0,59.0,M,3.0,5754204.68,6.0,9.0
8056743,13.0,160.0,63.0,M,3.0,5745578.16,7.0,7.0
2243576,11.0,136.0,62.0,M,2.0,5544842.49,6.0,9.0
8700059,11.0,132.0,65.0,M,2.0,5439354.9,3.0,6.0
6765532,28.0,336.0,56.0,M,3.0,5187970.13,5.0,8.0
5799151,21.0,254.0,56.0,M,3.0,5137641.69,6.0,9.0
8841326,32.0,391.0,60.5,F,2.0,5085307.11,6.0,9.0
9848978,6.0,78.0,38.5,U,3.0,4862430.04,6.0,9.0
8962152,11.0,141.0,57.5,M,2.0,4753214.1,6.0,9.0
6981798,9.0,108.0,44.5,M,3.0,4739012.27,4.0,7.0
7991760,30.0,363.0,53.0,M,3.0,4730367.72,6.0,9.0
2935280,30.0,370.0,66.5,M,4.0,4691835.72,7.0,7.0
1310232,4.0,58.0,53.0,M,2.0,4684076.16,7.0,7.0
4179430,9.0,117.0,66.5,M,2.0,4635079.65,6.0,9.0
9990452,27.0,335.0,35.5,M,3.0,4607206.68,5.0,8.0
606032,14.0,178.0,66.0,M,3.0,4555876.35,6.0,9.0
9578246,12.0,150.0,57.5,M,3.0,4524462.7,3.0,6.0
6146018,24.0,288.0,54.0,F,5.0,4522753.41,4.0,4.0
6271257,22.0,269.0,54.5,M,3.0,4520925.83,6.0,9.0
3759883,13.0,164.0,62.5,F,3.0,4479344.82,6.0,9.0
9362246,32.0,394.0,60.5,M,4.0,4477199.95,6.0,9.0
129659,15.0,182.0,67.5,M,3.0,4467812.83,6.0,9.0
2289261,6.0,79.0,38.5,M,2.0,4466421.83,6.0,9.0
4121411,17.0,213.0,62.5,F,3.0,4452908.73,7.0,7.0
3620034,6.0,72.0,55.5,M,4.0,4422127.11,6.0,7.0
6266083,13.0,156.0,36.5,M,2.0,4419093.17,2.0,2.0
6967120,21.0,260.0,68.5,M,3.0,4279873.38,6.0,9.0
937877,25.0,303.0,54.5,M,4.0,4269751.96,6.0,9.0
